id,created_at,text,user
1904570971836600669,2025-03-25 16:27:59+00:00,RT @Zaynabhurst: Guys stop looking for unnecessary dragging for Ashley😭😭😭😭 she is already going through it with the racism thingy. IAM lite…,Malita71348734
1904570970330783962,2025-03-25 16:27:59+00:00,RT @TomLondon6: The reason why so many well educated privileged people in England are so relaxed about the GENOCIDE in Gaza is RACISM  If w…,Paracel92875511
1904570968036507851,2025-03-25 16:27:58+00:00,RT @CamillaTominey: There's no underlying racism - yet another slur used by the left when they lose an argument. We see you.,FionullaHogan
1904570963615695255,2025-03-25 16:27:57+00:00,@JohnCornyn So ? No one will do anything about it. She will scream racism so loud.,Butch40406811
1904570959740223620,2025-03-25 16:27:56+00:00,@AjFreauf571005 @SteezyDrip04 @Pirat_Nation @CINO2821 The center of the argument is racism and homophobia. Can you deny it?,ticamachot
1904570959048159586,2025-03-25 16:27:56+00:00,RT @LostMemeArchive: Just Found Out About Racism (2019) https://t.co/DkPxOQKbKU,h4tchett_
1904570955709481345,2025-03-25 16:27:55+00:00,"@ShaooSky To be totally clear: I’m saying that some kids are assholes and colleges don’t want to have anything to do with them. Your claim is that because some racism exists, it’s all racism everywhere all the time.   Is it racism that I think your logic is bad?",_andrewmartin_
1904570937170624944,2025-03-25 16:27:51+00:00,@RadioGenoa Greed? Gluttony? Jealousy? Racism?,WilliamHil58622
1904570936075886735,2025-03-25 16:27:51+00:00,@catturd2 I accidentally was invited to a democratic strategy group text. They have some new tactics 1- scream racist louder 2- Have people of color scream racism louder  3- hand the keys to the stupidest among them 4 - convert the kickback money into gold bars   5- rub ass on all teslas,_God__Is__Love
1904570931625783538,2025-03-25 16:27:49+00:00,"@sussexpagan @allintco @praiseoghre After seeing your profile I actually think we have similar views, I just disagree with your take on what prejudice is. Hating someone because they are a particular skin colour/race is racism not prejudice.",BlueNosePanda
1904570928735936670,2025-03-25 16:27:49+00:00,RT @AllStatesAreBad: There's always been racism olin queer spaces and why many queer people who aren't white don't feel welcome in these sp…,ZephShoir
1904570917763657854,2025-03-25 16:27:46+00:00,@CTVNews Of course we are aware of anti-White racism in South Africa,Daniccca_ooh
1904570899358982256,2025-03-25 16:27:42+00:00,RT @Inhumansoflate1: Conservatives cancel culture is just racism https://t.co/343taeLdxh,kanyewesleokkj
1904570899166355847,2025-03-25 16:27:42+00:00,RT @antonioguterres: I urge everyone to play their part in building inclusive societies free from the evils of racism:  That means countrie…,Freedm_F0rce
1904570891562082787,2025-03-25 16:27:40+00:00,"@EndWokeness Here we Go again!!! A BLACK WOMAN IN THE ROOM!!!!! If people ever want to end racism, they have to stop referring to each other by the Amount of Melanin is in their skin or what race every one is!! We will rid ourselves of the larger part of racism when we  view one all others as",RobertEhring
1904570884464976054,2025-03-25 16:27:38+00:00,"RT @iambri_97: @EurovishPaul Also, do we remember how physical he was with Denzel and the way he adultified him when he was with Amy? The s…",Nikaay93
1904570881092821377,2025-03-25 16:27:37+00:00,"@atensnut It's coming for her. This full of herself, arrogant peice of walking talking racism, will find herself in a very embarrassing position soon. Don't worry Ms Cratchett AG Bondi, will not disappoint. A knock on your door is coming. You'll know not when or what time, but it's coming.",Ambsadr4him
1904570862810128679,2025-03-25 16:27:33+00:00,"RT @cb_doge: ELON MUSK: ""The South African government has over 100 laws that institutionalize racism against whites and asians.""   https://…",rightmindyoga
1904570852923810065,2025-03-25 16:27:31+00:00,RT @v_j_freeman: Albanese is an unalloyed antisemite. The Biden administration called her “unfit for her role” on account of her racism. Wh…,LittleEmUk
1904570843801223329,2025-03-25 16:27:29+00:00,RT @antonioguterres: I urge everyone to play their part in building inclusive societies free from the evils of racism:  That means countrie…,cretanadia
